"","Conditions","Pre1","Pre2","Pre3","Pre4","Pre5","Pre6","Pre7","Pre8","Pre9","Pre10","Pre11","Pre12","Pre13","Pre14","Pre15","Post1","Post2","Post3","Post4","Post5","Post6","Post7","Post8","Post9","Post10","Post11","Post12","Post13","Post14","Post15"
"149",4,7,7,7,7,7,5,5,5,1,5,2,4,7,7,4,7,7,7,7,7,6,7,7,7,6,5,5,7,7,7
"150",4,5,5,5,5,5,3,4,2,3,3,3,2,5,5,5,5,5,5,5,5,4,4,4,4,3,3,3,3,5,5
"151",4,3,2,2,7,6,5,6,6,3,2,3,5,2,3,6,5,5,5,7,2,2,3,2,4,4,2,5,6,6,3
"152",4,4,2,2,4,4,4,4,4,4,6,6,4,6,6,4,4,4,4,4,4,4,2,5,4,6,6,4,6,6,4
"153",4,1,3,7,7,7,6,5,7,3,4,6,5,7,7,6,1,6,7,7,7,7,6,7,5,4,4,5,6,6,6
"154",4,7,7,7,7,5,7,6,6,2,2,4,6,2,7,6,6,7,7,7,7,6,3,7,5,5,1,5,5,5,5
"155",4,5,6,5,5,7,5,6,5,1,3,3,4,3,2,5,3,5,4,6,5,4,2,5,5,4,3,6,4,6,6
"156",4,5,5,5,4,4,2,4,4,4,5,4,4,4,3,2,5,5,5,4,5,4,4,4,4,4,4,4,5,3,3
"157",4,4,6,6,6,6,6,5,5,4,6,3,6,5,4,5,6,6,6,6,7,4,4,5,5,4,4,5,6,6,6
"158",4,6,6,6,6,7,4,3,4,5,6,7,4,7,7,7,2,7,3,6,7,7,4,3,4,6,7,4,7,7,7
"159",4,7,7,7,6,6,5,5,6,4,6,6,4,7,6,6,7,7,7,6,7,5,5,6,6,6,6,5,7,6,6
"160",4,7,7,7,7,7,7,7,6,6,6,7,5,7,7,7,1,7,7,7,7,5,2,7,6,7,7,7,7,7,7
"161",4,6,6,6,6,6,6,6,5,5,2,5,6,6,6,6,2,5,3,6,6,6,5,6,6,2,6,2,6,5,6
"162",4,6,6,6,6,7,5,6,6,3,6,3,3,6,6,5,5,6,3,5,6,5,5,3,5,2,4,5,5,5,3
"163",4,7,7,7,7,7,7,7,7,4,7,1,5,7,7,7,4,6,5,5,7,5,3,5,2,3,2,2,1,6,6
"164",5,5,3,5,5,3,5,3,5,2,5,3,3,3,5,5,3,4,5,3,3,3,4,5,6,5,3,3,5,6,3
"165",5,5,6,6,4,3,2,3,1,5,6,2,4,4,3,5,3,4,3,2,5,2,1,3,2,3,3,3,3,4,5
"166",5,6,5,7,7,7,7,7,6,4,7,6,5,7,7,6,7,7,7,7,7,7,7,7,6,6,7,7,7,7,2
"167",5,6,6,6,6,7,6,6,6,5,5,5,5,6,6,4,6,7,7,6,7,6,6,6,6,3,6,6,6,6,5
"168",5,7,7,7,7,7,5,6,5,6,6,2,3,6,7,5,7,7,7,7,7,7,7,6,5,3,5,5,7,6,6
"169",5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"170",5,3,2,3,2,5,6,3,2,2,3,2,2,3,1,5,6,4,6,5,6,5,3,3,7,6,5,6,2,6,3
"171",5,2,3,1,7,5,6,4,5,3,1,3,6,2,4,6,6,6,4,7,1,3,2,3,4,6,4,5,4,6,1
"172",5,1,3,3,5,5,4,7,4,1,5,7,3,5,7,2,1,2,4,5,6,6,3,1,5,7,4,6,5,1,5
"173",5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,7,1,7,7,7,7,7
"174",5,1,1,1,7,7,7,7,7,1,1,1,7,1,1,7,7,7,7,7,1,7,1,7,7,7,1,7,7,7,7
"175",5,2,6,2,6,4,6,6,7,2,3,4,5,3,4,6,4,5,5,4,6,3,4,3,5,5,4,3,6,5,2
"176",5,1,2,3,4,6,5,7,6,3,2,2,5,1,3,6,4,4,5,4,2,1,4,2,5,5,4,6,5,6,3
"177",5,7,7,7,7,7,1,7,7,3,7,7,7,7,7,7,7,7,7,4,7,7,7,7,4,7,7,7,7,7,7
"178",5,1,1,2,6,7,6,7,6,1,2,1,6,1,2,7,7,7,7,6,2,2,2,1,7,7,2,7,7,7,1
"179",5,7,7,7,7,7,7,5,5,4,4,7,4,7,7,7,7,7,7,7,7,5,5,7,4,4,7,4,7,7,7
"180",5,5,5,4,5,6,5,6,6,5,5,4,3,6,3,4,3,6,4,5,7,6,6,6,6,3,5,4,2,4,3
"181",5,5,4,3,6,7,6,5,4,5,6,7,2,5,4,5,6,7,3,5,2,2,4,5,5,6,6,3,4,3,4
"182",5,5,3,3,6,5,2,5,3,6,6,2,1,5,4,2,3,3,3,6,6,3,5,3,2,3,3,2,5,5,2
"183",5,7,7,7,7,7,7,7,7,7,7,7,1,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7
"184",5,6,6,7,7,7,6,6,6,7,6,5,5,7,7,7,7,7,7,7,7,5,5,6,2,3,2,6,7,7,1
"185",5,2,1,2,7,5,6,7,6,3,2,1,6,1,2,7,6,5,7,7,2,1,2,2,7,6,2,6,7,6,1
"186",5,5,7,5,5,6,2,5,5,4,6,4,6,7,6,7,6,7,5,4,4,4,5,6,5,7,5,7,7,7,7
"187",5,2,1,2,5,6,7,6,5,1,2,1,6,3,2,7,6,6,6,6,1,3,3,2,6,5,1,6,7,6,1
"188",5,7,7,7,7,7,5,7,7,2,3,3,1,5,6,7,7,7,7,7,6,7,7,7,4,6,4,4,6,6,7
"189",5,7,7,7,7,7,7,7,7,6,6,4,6,7,4,7,7,7,7,7,7,7,7,7,7,4,4,7,7,4,7
"190",5,7,7,6,6,7,6,5,5,3,4,2,2,6,6,7,2,1,6,6,7,2,7,7,6,6,6,4,2,6,7
"191",5,1,3,7,7,7,5,6,7,1,3,3,6,7,7,5,1,6,6,7,7,7,7,7,7,4,4,5,6,7,6
"192",5,5,2,3,3,4,6,2,3,2,3,5,5,1,6,4,4,4,4,6,2,7,1,2,3,2,3,3,5,7,5
"193",5,4,2,3,6,7,6,5,4,4,5,3,5,4,5,6,3,5,2,6,6,6,4,2,4,4,6,4,4,3,5
"194",5,7,7,7,7,7,7,7,7,3,6,5,5,7,7,4,1,7,7,7,7,7,7,7,7,6,7,1,7,5,7
"195",5,6,6,6,4,6,4,5,4,4,6,2,4,6,2,5,2,6,6,4,6,5,3,5,3,5,2,5,5,5,6
"196",5,7,7,7,4,7,6,7,6,4,5,5,6,6,6,7,7,7,5,6,7,6,7,7,6,5,4,6,5,6,7
"197",5,7,7,7,7,7,7,7,7,1,4,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,7,7
"198",5,7,7,5,7,7,7,7,7,3,3,1,1,7,3,1,7,7,6,7,7,7,7,7,7,7,7,6,7,7,7
"199",5,7,7,7,7,7,6,7,7,6,5,5,5,7,5,7,5,7,1,7,7,6,7,7,7,6,7,2,7,6,7
"200",5,3,4,5,5,5,4,5,5,4,3,5,4,5,4,6,4,4,5,7,6,4,3,5,4,5,4,5,4,5,5
"201",5,1,2,1,6,7,6,7,6,1,2,1,6,1,2,7,7,7,7,7,2,2,2,1,7,6,2,7,6,7,2
"202",6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"203",6,2,3,2,7,6,5,7,6,3,2,1,6,4,2,7,5,5,7,5,1,2,3,3,6,6,2,7,6,5,1
"204",6,2,4,7,2,4,7,6,1,3,1,4,6,4,7,4,1,7,6,6,5,7,3,2,1,7,3,1,4,6,6
"205",6,1,2,1,6,6,7,6,7,1,2,2,7,2,1,7,6,6,6,6,1,1,1,2,7,7,1,7,7,7,1
