"","Conditions","Pre1","Pre2","Pre3","Pre4","Pre5","Pre6","Pre7","Pre8","Pre9","Pre10","Pre11","Pre12","Pre13","Pre14","Pre15","Post1","Post2","Post3","Post4","Post5","Post6","Post7","Post8","Post9","Post10","Post11","Post12","Post13","Post14","Post15"
"305",8,6,6,6,6,6,5,4,5,4,5,4,5,5,5,5,5,6,6,6,6,5,6,5,4,5,4,6,5,6,5
"306",8,6,6,6,7,7,6,5,5,6,7,6,5,7,7,3,7,7,6,7,7,7,6,5,5,6,6,6,7,7,5
"307",8,6,6,6,6,6,4,5,5,4,5,3,2,5,6,3,6,6,6,6,5,4,5,5,4,3,3,3,5,5,3
"308",8,1,1,1,1,3,1,6,5,3,1,2,1,2,5,1,7,3,1,2,6,2,5,3,5,1,3,1,3,3,1
"309",8,7,7,7,7,7,4,5,5,4,4,2,5,7,7,2,7,7,7,6,7,4,6,5,4,1,1,5,7,7,1
"310",8,3,4,4,6,6,5,4,4,3,4,3,4,3,4,5,5,5,4,6,6,4,4,5,4,4,4,4,4,4,3
"311",8,7,7,7,7,7,7,7,7,4,4,3,5,7,7,6,1,7,7,7,7,7,1,7,4,4,4,5,6,7,7
"312",8,2,7,6,6,6,4,3,2,6,4,5,5,6,5,5,5,5,4,5,5,4,5,5,3,4,3,5,3,5,3
"313",8,2,3,1,5,6,7,7,5,2,2,1,5,2,2,7,6,5,6,5,4,2,4,3,4,6,2,7,7,7,1
"314",8,2,4,2,6,5,7,7,6,3,3,2,6,3,2,7,5,5,5,6,4,3,2,3,6,6,3,6,5,7,5
"315",8,3,4,2,5,5,7,4,5,2,3,2,4,3,3,6,3,4,3,5,7,6,6,5,3,3,4,1,2,2,6
"316",8,6,6,6,7,7,7,4,7,2,4,4,4,7,7,7,7,4,4,7,7,4,4,7,6,4,4,7,7,4,7
"317",8,2,3,2,5,7,6,7,6,3,2,3,7,2,3,7,7,6,7,6,1,2,3,2,6,7,2,5,7,7,3
"318",8,2,3,2,5,7,6,7,5,3,3,2,6,2,2,6,6,6,6,6,1,3,3,2,6,5,1,4,5,6,3
"319",8,7,7,7,4,7,1,2,2,4,4,6,1,7,7,7,7,4,7,4,7,6,6,6,4,5,6,4,7,7,7
"320",9,5,5,5,5,5,5,5,5,4,4,4,4,4,5,4,5,5,5,5,6,6,4,6,4,4,4,4,4,4,6
"321",9,6,5,6,5,5,2,3,2,3,3,3,1,5,2,2,6,6,5,5,4,3,3,2,2,3,2,3,3,3,3
"322",9,3,2,5,6,5,7,5,6,4,1,2,7,3,1,6,7,3,6,5,2,3,1,2,5,7,1,6,5,6,4
"323",9,7,7,7,7,7,4,5,5,5,6,4,2,7,7,4,1,7,7,5,7,7,7,7,4,2,5,1,7,7,7
"324",9,3,4,2,4,6,4,5,7,3,1,2,4,3,2,5,4,5,6,6,2,5,4,3,5,4,3,4,5,7,2
"325",9,1,3,7,7,7,7,6,7,3,4,4,5,7,7,7,1,7,6,7,7,6,6,7,5,5,6,4,6,4,5
"326",9,7,7,7,7,7,6,5,3,5,6,5,5,7,7,7,7,7,7,7,7,3,4,5,6,6,6,7,7,7,7
"327",9,2,3,2,5,4,5,6,5,2,1,2,5,2,2,7,6,4,6,6,1,3,3,3,4,6,3,6,5,4,2
"328",9,5,5,5,5,7,6,5,6,5,5,5,5,6,5,6,6,5,5,6,1,6,5,6,6,5,6,5,5,5,6
"329",9,5,5,3,6,7,4,7,5,4,4,4,4,3,3,5,4,5,3,5,5,4,1,4,4,3,4,5,4,4,5
"330",9,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"331",9,5,6,6,5,4,3,5,5,4,3,2,3,5,6,2,6,6,5,5,5,3,6,5,3,2,2,3,5,6,2
"332",9,3,2,3,6,5,5,6,5,2,3,2,5,2,3,6,6,6,5,6,3,3,2,2,6,5,2,6,5,5,3
"333",9,7,7,6,7,7,4,5,7,4,5,2,4,7,7,7,6,7,6,6,7,6,6,6,5,4,4,5,6,6,6
"334",9,4,5,3,5,6,1,3,3,4,5,6,5,7,4,4,4,4,1,5,7,3,4,5,4,4,4,5,7,4,4
"335",9,7,7,6,7,7,7,7,7,7,7,6,1,7,7,7,7,7,1,7,7,7,7,7,7,1,7,1,7,6,7
"336",9,7,7,7,7,6,7,6,7,7,1,2,1,7,7,7,7,7,7,7,7,7,1,7,7,6,7,1,7,7,6
"337",9,3,4,2,5,6,4,5,3,3,4,2,5,2,4,7,6,6,5,6,4,6,5,5,5,5,4,6,4,6,4
"338",9,7,7,7,7,7,2,2,2,4,4,1,5,6,7,6,7,7,6,7,7,4,2,6,6,2,1,6,7,1,6
"339",9,3,2,1,3,4,6,7,5,5,1,2,4,3,6,6,6,6,6,5,1,1,6,4,5,6,4,6,4,7,3
"340",9,2,1,2,7,6,7,6,7,2,1,2,6,1,2,7,6,6,6,6,1,1,1,2,6,7,1,6,7,6,2
"341",9,3,2,3,6,5,4,5,6,2,3,2,5,3,2,5,5,5,5,5,4,2,2,3,6,6,2,5,6,5,2
"342",9,7,7,7,7,7,7,7,7,7,7,7,1,7,7,7,1,7,1,7,7,7,7,7,7,6,2,7,1,7,1
"343",9,7,7,7,7,7,6,7,6,6,7,6,4,7,7,7,7,7,7,6,6,7,7,6,7,7,6,4,7,7,7
"344",9,3,2,3,6,5,6,5,6,3,2,3,6,3,2,5,5,6,6,5,3,2,3,3,6,5,3,5,6,6,2
"345",9,1,2,3,4,3,4,5,6,1,2,3,4,5,6,7,6,7,5,7,2,1,1,5,3,5,1,4,6,6,2
"346",9,1,4,3,7,6,4,7,6,4,3,1,7,3,1,6,5,5,5,6,1,5,4,1,6,4,1,5,7,4,4
"347",9,6,7,6,5,4,3,2,4,6,5,2,2,6,5,2,3,6,6,5,5,2,4,4,3,3,2,3,6,6,3
"348",9,5,4,4,3,6,5,4,5,3,5,4,4,6,4,5,4,6,3,6,5,4,4,4,3,5,3,3,5,5,5
"349",9,2,1,1,6,6,7,7,6,3,2,1,6,3,2,6,7,7,6,6,3,3,1,1,6,7,2,7,6,6,2
"350",9,6,6,6,5,6,3,4,3,4,5,5,2,4,1,6,5,6,6,5,6,2,5,3,2,3,4,2,4,1,6
"351",9,2,3,2,5,6,5,6,5,2,3,2,5,2,3,6,6,5,5,5,2,3,2,2,5,6,2,4,5,5,3
"352",9,7,7,7,5,6,4,4,3,5,6,4,5,5,5,6,7,6,6,6,7,4,4,4,1,1,4,6,6,5,7
"353",9,6,5,6,6,6,5,5,6,3,4,2,5,5,5,5,6,5,5,6,5,5,6,6,5,4,4,5,6,6,6
"354",9,3,4,3,6,5,5,6,5,4,3,4,5,3,2,4,5,6,5,5,4,3,2,3,5,5,4,6,5,5,2
"355",10,1,1,1,7,7,7,7,7,1,1,1,7,1,1,7,7,7,7,7,1,1,1,1,7,7,1,7,7,7,1
"356",10,5,5,3,5,6,3,4,5,4,3,2,4,5,5,2,4,5,4,5,5,3,4,5,4,3,2,4,3,5,6
"357",10,2,3,4,3,7,6,5,4,2,3,4,3,2,4,4,5,4,5,3,3,4,2,3,4,5,4,3,5,5,5
"358",10,4,3,4,5,6,5,4,4,3,5,4,5,4,4,5,6,6,4,6,4,3,2,4,5,6,5,4,5,4,3
"359",10,3,3,4,5,5,4,4,5,4,3,3,5,3,4,4,5,4,4,6,6,4,4,4,5,4,4,5,6,4,4
"360",10,6,5,5,5,6,6,5,5,3,5,7,1,6,3,7,5,5,3,5,7,5,5,6,6,6,7,1,3,3,7
"361",10,7,7,6,7,7,6,7,6,7,6,7,7,2,1,7,5,7,6,7,2,7,7,7,7,1,7,1,1,7,1
"362",10,3,6,6,6,6,5,2,6,3,2,6,6,5,2,5,2,6,6,6,2,6,5,6,5,3,3,6,3,5,4
"363",10,3,2,3,6,5,3,6,6,2,2,3,6,3,2,6,6,5,4,5,5,3,5,2,6,5,2,3,4,6,4
"364",10,4,7,4,4,5,1,1,1,4,7,7,1,7,7,6,4,4,4,1,4,1,1,1,1,7,7,1,7,5,6
"365",10,1,2,1,5,7,6,7,6,1,3,1,5,2,3,7,7,7,7,6,2,3,2,1,7,5,2,7,5,7,2
"366",10,7,7,7,6,7,7,7,7,3,5,7,6,6,7,7,7,7,7,6,7,7,7,7,6,6,7,6,7,7,7
"367",10,6,6,6,5,5,4,5,5,4,5,4,5,5,6,4,6,5,5,5,6,5,4,2,4,3,4,5,5,5,6
"368",10,5,7,7,7,7,5,7,5,7,5,2,3,6,1,5,7,6,6,6,7,7,7,6,6,6,1,5,6,2,6
"369",10,5,6,4,4,4,4,5,4,3,3,3,4,2,2,6,3,3,3,6,5,5,3,3,3,5,5,3,3,3,3
"370",10,6,7,6,5,5,2,4,4,2,3,2,3,6,6,4,6,7,6,5,5,3,5,4,4,3,2,3,6,7,4
"371",10,7,6,7,7,7,6,7,6,7,6,7,2,7,7,6,2,7,7,6,7,7,7,7,6,1,7,1,7,7,7
"372",10,7,7,7,6,5,5,6,6,4,4,3,2,6,5,6,6,6,6,6,6,5,6,6,4,3,5,3,6,6,6
"373",10,7,6,6,7,7,7,7,7,2,3,2,3,5,5,7,7,6,6,7,7,7,7,7,4,4,2,4,5,5,6
"374",10,7,7,7,7,7,2,4,2,3,5,5,1,7,7,5,1,7,7,7,7,3,6,3,4,4,5,1,7,7,5
"375",10,7,6,7,7,7,7,6,7,2,7,7,2,7,7,7,6,1,7,7,7,7,7,7,7,7,7,1,7,7,7
"376",10,7,3,3,7,7,7,7,7,6,7,3,5,3,3,3,5,3,3,7,7,7,7,7,6,5,3,5,3,2,3
"377",10,7,7,7,7,7,6,7,7,1,1,3,5,6,6,7,7,7,7,7,7,7,7,7,6,7,4,3,3,7,7
"378",10,5,6,5,4,4,3,3,4,4,4,3,4,5,5,4,5,5,5,5,5,5,5,5,5,4,3,4,5,5,5
"379",10,4,4,4,4,3,3,4,4,4,4,4,3,5,5,4,4,4,4,4,3,3,4,4,3,4,4,3,3,5,4
"380",10,1,3,4,6,7,6,4,7,3,5,3,6,1,2,5,7,6,5,4,1,5,4,1,6,5,2,5,7,7,2
"381",10,2,1,4,7,6,5,5,4,3,2,3,4,2,3,4,2,6,2,7,4,5,3,6,6,4,2,4,2,4,6
"382",10,2,1,3,7,7,6,7,5,2,1,2,5,1,2,7,5,7,5,7,2,1,2,1,5,5,1,5,6,6,2
"383",10,4,4,4,4,4,6,7,6,6,7,7,6,7,6,7,4,4,4,4,4,7,6,7,4,7,7,6,7,6,7
"384",10,7,7,7,7,7,7,7,7,4,3,7,1,7,7,6,1,7,7,7,7,6,7,7,6,7,7,6,7,7,4
"385",10,3,2,3,6,7,5,6,7,2,3,1,6,3,1,7,6,7,6,5,3,1,1,3,7,5,1,6,4,6,3
"386",10,4,4,4,5,5,5,5,5,3,3,4,5,4,4,5,4,4,4,5,4,3,5,3,4,5,4,5,4,4,4
"387",10,6,7,7,7,7,5,5,2,4,7,3,4,6,5,1,1,5,5,6,7,4,6,5,3,7,1,5,6,4,1
"388",10,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
"389",10,2,4,2,5,5,5,4,5,4,2,3,7,1,2,4,4,4,6,6,5,2,3,2,6,5,3,5,4,4,3
"390",10,2,3,4,6,5,7,6,5,4,2,3,7,2,3,4,4,4,4,6,1,1,3,2,6,5,3,6,5,5,3
"391",10,6,6,6,5,6,3,4,3,4,5,5,2,4,1,6,5,6,6,5,6,2,5,3,2,3,4,2,4,1,6
